,label,text
43,0,Klarifikasi KBRI dan PPLN Singapura Terkait Isu TKI Harus Membayar 30 Dollar untuk Menggunakan Hak Pilihnya
44,0,“NU dan NW di NTB Bersaudara”
45,0,“Kementan Bantah Siluet Wajah yang Ada Dibungkus Plastik Bertuliskan ‘Beras Segar’ dan ‘Toko Tani Indonesia’ ialah Presiden Jokowi”
46,0,Penjelasan Bupati Nduga Terkait Foto Anaknya sedang Memegang Bendera Bintang Kejora
47,0,“Rektor ITB Bantah Berikan Dukungan kepada Satu Pasangan Cagub dan Cawagub Jabar”
48,0,Pembangunan Jembatan Gantung Sikundo
49,0,Penjelasan Lengkap Duduk Perkara terkait Video Viral Massa Geruduk Gereja di Sumatera Utara
"50,0,""MUNCUL ISU AKAN TERJADI GEMPA DI PALU PADA 28 DESEMBER 2018, BMKG ANGKAT BICARA"""
51,0,Klarifikasi BPPT Terkait Isu Potensi Tsunami 57 Meter di Pandeglang
"52,0,""“Bantah Nomor Urut 01 Untungkan Jokowi-Ma’ruf dalam Komputer Sistem Biner, KPU Tegaskan Perhitungan Suara Dilakukan Secara Manual”"""
53,0,Klarifikasi Komisi Hukum MUI Terkait Isu Akan Melaporkan GP Ansor dan Banser Ke Polisi Terkait Kasus Pembakaran Bendera
54,0,Klarifikasi SMS Dengan Nomor Handphone Ustadz Abdul Somad Dukung Paslon 01
55,0,“Kepolisian NTB Bantah Adanya Kabar Perampokan di Kopang Pasca Gempa Lombok”
56,0,“Pihak Keluarga Almarhumah Siswi SMPN 2 Semen Bantah ‘SA’ Meninggal dalam Kondisi Telinga Berdarah dan HP Berantakan di Lantai ”
57,0,KLARIFIKASI PETANI KULONPROGO YANG SEMPROT MATI LAHAN CABAI
58,0,Klarifikasi Perpusnas Terkait Undangan “Temu Wicara ISBN Tahun 2018” pada 12 – 13 Desember di Jakarta
59,0,“Years of Living Dangerously: Last Stand”
60,0,Klarifikasi Kementerian Luar Negeri Terkait Isu Pelarangan Anak Habib Rizieq Masuk Yaman
61,0,CNN Indonesia: “Bank Dunia Akui Laporan Infrastruktur Jokowi Belum Final”
62,0,Klarifikasi Mahfud Md Terkait Tuduhan Ratna Sarumpaet Terhadapnya
63,0,Polisi Mengklarifikasi Info Terkait Diberlakukannya Uji Tliang E CCTV Mulai Hari Ini
64,0,“KPUD DKI Jakarta Belum Temukan Nama Mantan Wali Kota Jakpus yang Dikabarkan Maju Caleg dari PDI-P”
65,0,The Guardian: “‘Saya merasa jijik’: di dalam pabrik akun Twitter palsu di Indonesia”
66,0,“Kominfo Bantah Adanya Kebocoran Anggaran Asian Games Sebesar Rp. 846 Juta di Asian Games”
67,0,“Video Petugas KPPS Coblosi Kertas Suara di Halmahera Tengah Beredar”
"68,0,""KPK Tidak Melakukan OTT di Pontianak, Kalimantan Barat"""
69,0,Klarifikasi PT Schroder Terkait Isu Memberikan Dana Kampanye Untuk Sandiaga Uno
70,0,Klarifikasi terkait Unggahan Akun Facebook Bernama Monik Tentang Diskriminasi Siswa Kristen di SMPN 13 Pontianak
"71,0,""ANGGOTANYA DITUDING SEBAGAI PENGANIAYA TAHANAN, POLRES SUBANG BERIKAN KLARIFIKASI"""
"72,0,""KPU Klarifikasi Terkait Kesalahan Input Data Form C1 Di TPS 093 Bidara Cina, Jakarta Timur"""
73,0,Bawaslu Bantah Pelaku Surat Suara Tercoblos Di Malaysia Telah Ditangkap
74,0,Video Petugas KPPS Coblos Surat Suara di Boyolali
"75,0,""“Tidak Ada 220 Anak Palestina yang Mengungsi dan Siap Diadopsi di Belawan, Medan”"""
76,0,Klarifikasi Video Kapolres Landak AKBP Bowo Gede Imantio Dipaksa Makan Babi
77,0,Klarifikasi Rumah Sakit Umum Cut Nyak Dien (RSU-CND) Meulaboh Terkait Isu Keluarnya Dokter Spesialis Jantung Karena Tak Digaji
78,0,Klarifikasi Surat Edaran Intruksi Memasang Spanduk Ucapan Selamat Terpilihnya Prabowo-Sandi sebagai Presiden dan Wakil Presiden
79,0,KNPI Sumut Bantah Terima Mobil Bekas DPRD Sumut
80,0,“Video Transmart Bocor dengan Kucuran Air yang Deras dan Banjir Kecoklatan bukan di Yasmin dan Duta Mall”
81,0,Klarifikasi TNI-Polri Terhadap Tudingan Melakukan Penyanderaan Rombongan Tim Evakuasi Kemanusiaan dan Pemda Nduga
82,0,“Taman Impian Jaya Ancol Bantah Menggratiskan Tiket Masuk Mulai 14 Oktober hingga 6 Bulan Kedepan”
83,0,Pernyataan Timses Prabowo-Sandiaga Terkait #PrabowoBersamaHTI di Twitter
84,0,Sekolah SMAN 2 Rambah Hilir Riau Tidak Mewajibkan Siswi Non Muslim Memakai Jilbab
85,0,Belum Ada Susunan Resmi Tim Kampanye/Pemenangan Pasangan Prabowo-Sandi Hingga Kini (21 Agustus 2018)
86,0,Klarifikasi Kemendagri Perihal Pembahasan RUU Masyarakat Adat
87,0,Ustaz Fadlan Garamatan Tidak Maju Sebagai Caleg Dari PDIP
88,0,Klarifikasi KPU Terkait Pernyataan Ustaz Haikal Hassan Mengenai 13 Juta Pemilih yang Gila
89,0,Klarifikasi Djarot atas Informasi yang Sebut Dirinya Menyuap Sejumlah Kepala Desa di Kabupaten Asahan
90,0,FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah
91,0,Pernyataan Pihak Kepolisian Terkait Acara Peringatan 4 tahunan Jemaah Khilafatul Muslimin yang akan Diadakan di Masjid Akbar Kemayoran
92,0,Tanggapan Gubernur Babel dan Kepala Dinas PUPR Babel terhadap Taman Pemprov yang Mirip Mata Dajjal
93,0,Klarifikasi BPPTKG Terkait Video Erupsinya Gunung Merapi dan Kepanikan Warga
94,0,PT KAI Memberikan Klarifikasi Terkait KA Argo Parahyangan Berasap
95,0,“KPK Bantah Keluarkan File Berbentuk PDF yang Berisi Nama-nama Calon Kepala Daerah yang Diduga Terlibat Korupsi”
96,0,Kejati Kaltim Bantah Telah Keluarkan Rekomendasi Pengawasan Proyek Masjid Pemprov Kaltim di Kinibalu
97,0,Tidak Ada Pesawat yang Tenggelam Seperti Terlihat di Google Maps
98,0,“Sepucuk Surat Dari Teman di Arab Saudi”
99,0,Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib
"100,0,""[BENAR]: Kemenhub Mengklarifikasi Kapal Feri Lestari Maju Sengaja Dikandaskan, Bukan Tenggelam"""
101,0,“BPS Tampik Pernyataan Sandiaga yang Sebut Makan Siang di Singapura Lebih Murah daripada di Indonesia”
102,0,Kemenkeu Klarifikasi Soal Sri Mulyani Pakai Topi Kalimat Tauhid
103,0,JJ Rizal Bantah Menjadi Tim Pertimbangan Monas
"104,0,""“Tidak Ada Bom di Pesawat Lion Air JT 120 Rute Cengkareng – Tanjung Pandan, Belitung”"""
105,0,“BMKG Bantah Informasi Prediksi Kemarau Panjang yang Dikaitkan dengan Pertanyaan Kemunculan Dajjal”
106,0,Klarifikasi Uang Rp 30 Milyar yang Mengapung di Laut Pasca Musibah Kandasnya Kapal Motor Lestari Maju
107,0,“KPK Tidak Pinjam Uang Rp. 5 miliar ke Probosutedjo”
108,0,Kapolres Gresik Tak Pernah Minta THR Kepada Masyarakat dan Perusahaan di Gresik
109,0,“Kepolisian Bantah Telah Menangkap Pelaku Jambret di Cempaka Putih”
110,0,Kak Seto Tidak Mengisi Acara di Sampoerna Academy
111,0,Kemenhub Klarifikasi Terkait Isu Pilot Indonesia Banyak Yang Tidak Lulus Ujian Simulator Airbus di Australia
112,0,Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR
113,0,Klarifikasi Polri dan KPK Terkait Kabar “Kabareskrim Bongkar Rekening Gendut Ketua KPK”
114,0,“Manajemen Garuda Indonesia Tegaskan Tidak Ada Penjualan atau Penawaran Saham kepada Perusahaan China”
115,0,“Transjakarta Bantah Kini PNS DKI Jakarta Mesti Bayar”
"116,0,""“Jokowi dituduh Jual Belikan Undangan Pernikahan Kahiyang-Bobby, Istana Angkat Bicara”"""
117,0,Klarifikasi Twitter Tentang Tuduhan Tak Netral di Pemilu 2019
118,0,“Polri Bantah Kerahkan Sniper untuk Menjaga Veneu Asian Games”
119,0,Kemenhub Beri Klarifikasi Atas Kabar yang Menyebutkan Ada 2 Pegawai Ditahan Usai Kebakaran di Gedung Kemenhub
120,0,Pernyataan GP Ansor Terkait Banser NU Garut yang Membakar Bendera Tauhid Bertuliskan La ilaha illa Allah Muhammad Rasulullah
"121,0,""Wasekjen PKS, Mardani Ali Sera Tak Berfoto Bersama Bos Abu Tours"""
"122,0,""Klarifikasi Dinas Pendidikan NTT Terkait Isu Penutupan SMA di Borong, Kabupaten Manggarai Timur"""
123,0,“Sindrom Siklopia”
124,0,Klarifikasi terkait Informasi Pihak Kepolisian Akan Bubarkan Warga yang Salat Idul Adha di Jembatan Ampera
125,0,KemenPAN-RB Tidak Terlibat Dalam Acara Seminar Nasional Pengadaan Tes CPNS 2018
126,0,Klarifikasi Kepolisian Terkait Aturan Kendaraan Bermotor yang STNK Mati Selama 2 tahun Menjadi Bodong
127,0,KLARIFIKASI KEPOLISIAN TERKAIT RUMOR KORBAN PEMBUNUHAN OLEH PENDETA HENDERSON TENGAH HAMIL
128,0,Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya
129,0,Klarifikasi Ponpes Darul Muwahiddin Atas Penolakan Kedatangan Ma’aruf Amin
130,0,“Inasgoc Bantah Belum Bayar Honor Penari Rato Jaroeh di Asian Games 2018”
131,0,Penjelasan Para Elit Garbi Terkait Para Peserta Acara Deklarasi Garbi Chapter Bandung yang Memakai Kaos Jokowi-Ma’ruf Amin
"132,0,""DIKABARKAN MUNDUR DARI KSP, MOELDOKO BERI KLARIFIKASI"""
133,0,Gempa Palu Bukan Penyebab Erupsi Gunung Soputan
134,0,Viking Persib Club Bantah Dukung Pasangan Capres-Cawapres Tertentu
135,0,“Kunjungan Jokowi ke NZ disambut aksi Papua Merdeka”
136,0,Klarifikasi Kemenag Terkait Kabar Pemecatan Dosen Hayati
137,0,Gambar Logo PDIP pada Ujian SD di Bogor
138,0,Klarifikasi Atas Isu Pelaku Bom Srilanka Adalah WNI
139,0,Caleg PDIP Minta Maaf atas Viral Senam di Atas Sajadah
140,0,“Projo Bantah Lakukan Penghadangan Terhadap Neno Warisman”
141,0,Cokelat “Mermaid” Memakan Korban
142,0,Klarifikasi Bukalapak Terkait Kabar Peretasan Situsnya
143,0,“Jokowi Restui WNA Duduki Jabatan Direksi BUMN”
144,0,Pollycarpus Bantah Jadi Kader Partai Berkarya
"145,0,""Klarifikasi Keluarga Zulfirman Syah, Korban Penembakan Brutal di Masjid Christchurch"""
146,0,Lapan Mengklarifikasi Soal Dentuman Misterius Bukan Dari Suara Ujicoba Roket
147,0,Klarifikasi atas Beredarnya Surat Pernyataan dari Bank Mandiri Tentang Rekening Sofyan Basir Sebesar Rp 104 Triliun
148,0,Klarifikasi Terkait Isu Kelangkaan Gas LPG 3 Kg di Bangka Belitung
149,0,“Kader Gerindra Merasa Difitnah dengan Poster Ajakan Deklarasi #2019GantiPresiden di Bandar Lampung yang Menjanjikan Imbalan”
150,0,“MenPAN-RB Bantah Maju sebagai Caleg”
151,0,Penjelasan KPU dan BPN Prabowo-Sandi Terhadap Informasi Iklan KPU yang Tidak Cantumkan Gelar Akademisi Prawbowo-Sandi
152,0,KPK Bantah Keluarkan Surat Edaran Terhadap Universitas Sam Ratulangi
153,0,Pengadaan Tas Sembako Jokowi Rp 3 Miliar Sudah Ada Sejak Presiden Terdahulu
"154,0,""“Bukan Hoax, FPI Ikut Buka Bersama di Masjidilaqsa”"""
"155,0,""“Klarifikasi BMKG Terkait Prediksi Gempa Bermagnitudo 8,2 dan Tsunami di Beberapa Daerah Jateng”"""
156,0,Klarifikasi Milly Ratudian Purbasari terkait akun facebook Kinara Kania Putri yang memakai fotonya
157,0,“2 Petani di Rokan Hilir tewas tersambar petir saat berteduh di pohon sawit”
158,0,Ridwan Kamil Bantah Artikel “Ridwan Kamil: Di jawa Barat Kita Akan Mendata Siapa Saja Yang Tidak Mendukung Jokowi!!”
159,0,Kemenristek Dikti Bantah Surat Terkait Pengembangan Hybrid
160,0,BPJS Ketenagakerjaan Tidak Mengedarkan SMS Pemberian Hadiah Dana Bantuan
161,0,Pertamina Bantah Mengurangi Kuota BBM Bersubsidi Di Wilayah Solo Raya dan DI Yogyakarta
162,0,Klarifikasi BMKG Terkait Foto Indonesia “Very High Seismic Risk”
"163,0,""Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi"""
"164,0,""Klarifikasi Polri Terkait Isu Jenderal Tito ke Mekkah, Arab Saudi"""
165,0,“SMRC Bantah Lakukan Quick Count untuk Pilbup Pinrang”
166,0,“Tribun News Tidak Menuliskan Densus 88 Mengamankan Barang Bukti Al Quran saat Menggeledah Rumah Driver Ojol Terduga Teroris di Medan”
167,0,“Kadis LH DKI Jakarta Tidak Meminta Sejumlah Uang untuk Keperluan Tertentu melalui Akun Media Sosial”
168,0,“KPK Bantah Mengusulkan Pemilihan Kepala Daerah Melalui DPRD”
169,0,“Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen”
170,0,“PT. Dirgantara Indonesia Tak Dijual ke Pihak Asing”
171,0,“Tidak Ada Pejemputan Paksa Ulama Bireuen oleh Polisi”
"172,0,""“Heboh soal ‘Prasasti SBY’, Begini Sejarah Bandara Lombok”"""
173,0,Klarifikasi Camat Kemalang Terkait Isu Pungli Perekrutan Perdes di Tangkil
174,0,Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO
175,0,Klarifikasi Pertamina Perihal Lowongan Kerja RDMP RU V di Balikpapan
176,0,LIPI Tidak Mengeluarkan Hasil Survei Capres-Cawapres
177,0,Penjelasan Haikal Hassan terkait Cuitannya yang Mendukung Jokowi dan Sebut Prabowo Tidak Jumatan Malah Minum Bir
178,0,Klarifikasi Dinas Kesehatan Kota Palopo Terkait Isu Beredarnya Obat Kedaluwarsa
179,0,“PT AHEB Nyatakan Torpedo Tak Mengandung Zat Benzo yang Sebabkan 56 Pelajar SMP 18 Pekanbaru Menyayat Tangannya”
180,0,Kemenkeu Tidak Memblokir Rekening Ruben PS Marvey yang Berisikan Dana Bantuan Pembangunan Papua
"181,0,""“Bukan disebabkan vaksin, siswa MI di Palembang tewas karena radang otak”"""
182,0,“Nissa Sabyan Bantah Diundang Panitia Pesta Raya Porda Jabar 2018 untuk Mengisi Acara”
"183,0,""“Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas LH DKI Buka Suara”"""
184,0,SPP SMA/SMK GRATIS JAWA TIMUR
185,0,Klarifikasi BNPB Terkait Isu Pengusiran Relawan BPBD
186,0,PT MRT Klarifikasi Perihal Kebakaran di Stasiun Lebak Bulus
187,0,Klarifikasi terkait Video Viral Pagar Masjid Istiqlal yang Ditutup
188,0,REDAKSI LIPUTAN 6 SCTV: “Tidak Pernah Revisi Quick Count”
189,0,HMI Klarifikasi Terkait Isu Memberi Dukungan Politik Ke Partai Berkarya
"190,0,""Klarifikasi Putra Aji Adhari, Anak Kelas ll MTS yang “Bobol” Situs KPU Pemilu 2019"""
191,0,Pernyataan Polri Terhadap Acara Kontes Gay dalam Grand Final Mister dan Miss Gaya Dewata 2018 di Bali
192,0,BMKG Tidak Bunyikan Sirine Peringatan Dini Tsunami di Banten
193,0,“Parasetamol Tidak Mengandung Virus Machupo”
194,0,Rio Rizki Bukan Peraih Medali Emas Termuda Di ASIAN Games 2018
195,0,“Tidak Ada Klaim dari Anies Mengenai Merancang Lapangan Banteng Dari 0”
196,0,Wakapolri Tidak Pernah Beri Pernyataan Terkait Pilkada Kota Makassar 2018
197,0,Pernyataan Sikap Netral Universitas Indonesia (UI)
198,0,“Rektor IPB Bantah Sebut Ada Aliran Sesat di Kampusnya pada Tahun 2000-an”
199,0,“Bappenas Bantah Tudingan Sandiaga Uno yang Sebut Pemerintah Mengintervensi Data BPS”
200,0,Klarifikasi Dahnil Anzar Terkait ‘E-mail Skenario Coklat1’
201,0,Kepolisian Klarifikasi Terkait Biaya Tilang Baru
202,0,Foto Massa “Aksi 67”
203,0,Klarifikasi Pondok Pesantren “Al-Munawwir” Krapyak Terhadap Pemberitaan JPNN
204,0,PT Indonesia Morowali Industrial Park (IMIP) Membantah Isu Senjata Api Selundupan
205,0,“KH Asep Saifuddin Chalim Bantah Sebut Orang yang Menyarankan Memilih Gus Ipul Telah Berkhianat”
206,0,Klarifikasi BNPB Terkait Kabar Ada 2 Warga Belanda Korban Gempa Palu
"207,0,""MUNCUL PESAN BERANTAI AKAN TERJADI PERANG SUSULAN AMBON VS LSM MERAH PUTIH, PIHAK KEPOLISIAN NYATAKAN KONDISI LAPANGAN KONDUSIF"""
208,0,“Guru TK di Malaysia yang Terekam Aniaya Muridnya Ditangkap”
209,0,BKN Bantah Umumkan Informasi Kebijakan Baru Passing Grade Untuk CPNS Agar Lulus Tes SKD
210,0,Brookings Institution: “Percakapan dengan Joko Widodo Presiden Indonesia”
211,0,Klarifikasi terkait Kabar Petugas KPPS di Way Kanan Lampung Tewas Ditikam karena Melerai Keributan Timses Caleg
212,0,“Indochina” di Foto Kontainer “Southern Hauliers”
213,0,15 Kotak Suara DPRD Jambi Dibakar OTK
214,0,Klarifikasi Badan Kepegawaian Negara Terkait Tersebarnya Surat Pengangkatan CPNS Palembang
215,0,Penjelasan terkait Video Truk Kontainer Bergambar Jokowi-Ma’ruf Amin
"216,0,""“Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, tapi Ikhlas”"""
217,0,Mahasiswa Universitas Jenderal Sudirman Purwokerto Nyanyi Lagu Indonesia Raya di dalam Mesjid Nurul Alam
218,0,“BI Bantah Keluarkan Uang Berstempel 2019 Ganti Presiden dan Prabowo Satria Piningit”
219,0,“Polres Banjarbaru Bantah Melakukan Pemeriksaan dan Pengamanan Terhadap Pedagang Pentol Berbahan Daging Kucing”
"220,0,""“Makanan Jamaah Haji yang Tarwiyah di Mina, Bukan dari PPIH”"""
221,0,Penjelasan Kepala Media Center Prabowo terkait Pidato Prabowo yang Sebut Indonesia Hanya Punya 1 Profesor Fisika
222,0,“WIKA Kirim 1.500 Pekerja RI Garap Proyek di Aljazair”
223,0,Klarifikasi BPN Prabowo – Sandi tentang Situs ‘KTP Prabowo’
224,0,“Polri Minta Kominfo Blokir Situs SkandalSandiaga.com”
225,0,Klarifikasi tvOne terkait foto Ustadz Abdul Somad dan Direksi serta karyawan tvOne di akun twitter @saididu
226,0,Klarifikasi Ridwan Kamil Terkait Tudingan Bermain Dua Kaki
227,0,“Beberapa Tokoh Gereja di Bekasi Bantah Buat Perjanjian Bersama dengan Cawalkot Rahmat Effendi”
"228,0,""VIRAL FOTO TEBING ULUWATU BALI RETAK, PIHAK PENGELOLA BERIKAN KLARIFIKASI"""
229,0,DJP Bantah Call Centernya Meminta Data KTP dan Identitas Lainnya
230,0,“Lurah Pabean Tak Mengenakan Atribut PDIP di Rapat Kerja Cabang III”
231,0,TIDAK ADA PENYERANGAN RUMAH IBADAH DI DESA PAUH RANAP RIAU
232,0,Klarifikasi Temuan Tim Investigasi Unnes Terkait Dugaan Plagiarisme Rektor Unnes
233,0,PIHAK KEPOLISIAN KALSEL AMANKAN PENYEBAR HOAKS PEMBUNUHAN LEVIE PRISILIA
234,0,“Wali kota Semarang Bantah Ada Kelurahan yang Masuk Zona Merah Difteri di Daerahnya”
235,0,Kemendagri Tidak Pernah Mengeluarkan dan Mengedarkan Surat Pembekalan CPNS Tahun 2018
"236,0,""Bupati Luwu Utara, Indah Putri Indriani Tidak Mempunyai Akun Facebook"""
237,0,[BENAR]: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018
238,0,“Polri Tidak Lakukan Perubahan Pelat Kendaraan Bermotor Menjadi Warna – Warni”
239,0,Baliho “Cinesia Timur Sakti” Bertuliskan Bahasa Cina di Bandara Haluoleo Kendari
"240,0,""“Ditarget Rampung 2019, Jalan Trans Papua Dibangun Sejak Era Habibie”"""
241,0,Klarifikasi Kepala BKPSDM Kabupaten Pamekasan Terkait Isu Penerimaan 80 Aparatur Sipil Negara (ASN) di Pamekasan
242,0,Kemenristekdikti Luruskan Wacana Dosen Impor
243,0,“KemenPAN-RB Bantah Terbitkan Laporan Penetapan e – Formasi untuk Pengangkatan CPNS 2016 – 2019”
244,0,“Tidak Semua Operator Seluler Menyediakan RBT ‘Jokowi Saja’”
245,0,Mobil B 2 64RIS yang Ditumpangi Prabowo Subianto di Cianjur Milik Mantan pemimpin ISIS Regional Indonesia
246,0,KEPOLISIAN TEPIS ISU PENYERANGAN OLEH WARGA RUMPIN BOGOR
247,0,Klarifikasi Kementerian BUMN Atas Isu BRI Akuisisi Jiwasraya
248,0,“Akses Angkot di Palembang Saat Asean Games Tidak Ditutup”
249,0,“Lippo Group Tetap Gaji Para Marketing Meikarta dan Menjaga Invenstornya”
250,0,BMKG Kupang Bantah Terkait Informasi Prakiraan Badai di NTT Yang Beredar di Media Sosial
251,0,“Panen Bawang Berlimpah Ciptakan Krisis di India”
252,0,Klarifikasi PT Go-Jek Terkait Isu Adanya Pemutihan Massal Akun Eks Mitra Go-Jek
253,0,GUNUNG GONGGANG DI SAGARANTEN SUKABUMI DIKABARKAN AKAN MELETUS
254,0,TNI: Indonesia Tidak Langgar Perbatasan Timor Leste
255,0,Klarifikasi RSUD Tarakan Terkait Kabar Penahanan Bayi Pasien
"256,0,""WARGA KABUPATEN LOMBOK UTARA DIISUKAN MEMINUM AIR DARI GOT, BABINSA BERIKAN TANGGAPAN"""
257,0,“Soda Susu Tak Dapat Bersihkan Paru – paru Perokok”
"258,0,""Mantan Ketua DPD Gerindra Kaltim, Bantah Pernah Buat Materi Kampanye ‘Ingat Burungnya’"""
259,0,BMKG Papua Mengklarifikasi Isu Akan Terjadi Tsunami di Papua
260,0,Pihak Kepolisian Bantah Infromasi Modus Hipnotis Dua Orang Pria Berbaju Pancasila Untuk Bencana Gempa Palu
261,0,Penjelasan Iwan Fals terkait Foto Salam 2 Jari dan Poster Dukungan Dirinya Kepada Jokowi
262,0,KEPOLISIAN ANGKAT BICARA TERKAIT GRUP GAY PELAJAR DI GARUT
"263,0,""WARGA MALANG DIHEBOHKAN SOAL PENEMUAN ALAT KEJUT YANG DIANGGAP BOM, KEPOLISIAN BERI PENJELASAN"""
"264,0,""KONDISI WILAYAHNYA DISEBUT TIDAK AMAN, BUPATI NDUGA PAPUA BERI KLARIFIKASI"""
265,0,Indomaret Klarifikasi Tayangan TV Jokowi Yang di Protes Kader Partai Demokrat
266,0,Pengibaran Bendera Israel dalam Acara di Jayapura
267,0,Penjelasan terkait Video Mobil Berplat TNI yang Membawa Logistik Kampanye Prabowo-Sandi
268,0,BNPB KLARIFIKASI VIDEO ERUPSI GUNUNG MERAPI
269,0,Klarifikasi Polisi Terkait Tuduhan Melakukan Diskriminasi Pemeriksanaan Kepada Orang Asli Papua (OAP) di Lapangan Terbang/Bandara Kenyam
270,0,Penjelasan KPU Gowa terkait Baliho Surat Suara yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi
271,0,“Ferdinand Hutahean Menyatakan Akun Twitter @FerdinandFarel Bukanlah Miliknya”
